colname,rate
id,1.0
title,1.0
title_alternative,0.0
agency,0.820397444649779
agents,0.820397444649779
applicant,1.0
beginpage,0.0
contributor,0.0
country,1.0
creator,1.0
creator_bio,0.0
creator_degree,0.0
creator_discipline,0.0
creator_drafting,0.0
creator_en,0.0
creator_institution,1.0
date,1.0
date_created,1.0
date_impl,1.0
description,0.29696816744452187
description_core,1.1630030133408075e-06
description_cycle,0.0
description_en,0.0
description_fund,0.0
description_location,0.0
description_source,0.0
description_unit,0.0
endpage,0.0
folio_size,0.0
identifier_cnno,0.0
identifier_doi,0.0
identifier_eisbn,0.0
identifier_eissn,0.0
identifier_isbn,0.0
identifier_issn,0.0
identifier_pisbn,0.0
identifier_pissn,1.0
identifier_standard,1.0
issue,0.0
jumppage,0.0
language,1.0
legal_status,1.0
lngid,1.0
medium,1.0
page,0.7159074389161743
pagecount,0.0
pct_app_data,0.021146883791575904
pct_enter_nation_date,0.021146883791575904
pct_pub_data,0.020740995739919964
priority_number,0.0
provider,1.0
provider_bn,0.0
provider_id,1.0
provider_jid,0.0
provider_subject,0.0
provider_url,1.0
province_code,1.0
pub_place,0.0
publisher,0.0
rawid,1.0
rawtype,0.0
source,0.0
source_en,0.0
source_fl,0.0
source_id,0.0
source_institution,0.0
subject,0.6047859900005
subject_clc,0.0
subject_csc,1.0
subject_dsa,0.0
subject_en,0.0
subject_esc,0.0
subject_isc,1.0
title_catalyst,0.0
title_edition,0.0
title_series,0.0
title_sub,0.0
type,1.0
volume,0.0
